model,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.8019872249822569,0.6892430278884463,0.4625668449197861,0.5536,0.8445077372187345
LightGBM,0.8041163946061036,0.7058823529411765,0.44919786096256686,0.5490196078431373,0.8444948203260223
RandomForest,0.7963094393186657,0.6851063829787234,0.4304812834224599,0.5287356321839081,0.8408277144850036
